Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-80816,SG/PG,Malik,Malik Monk,Monk,22.01304294752038,23,5500,SAC@POR,SAC,POR,,,,,,PG/SG
124539-203713,PG/SG,Reed,Reed Sheppard,Sheppard,26.495653235394023,23,5500,HOU@NO,HOU,NO,,,,,,PG/SG
124539-188431,PF,Noah,Noah Clowney,Clowney,23.15199951171875,25,5400,MIA@BKN,BKN,MIA,,,,,,PF
124539-42156,PF/C,Bobby,Bobby Portis,Portis,21.474073621961807,27,5400,TOR@MIL,MIL,TOR,,,,,,PF/C
124539-84667,SG/PG,Collin,Collin Sexton,Sexton,24.80476306733631,21,5400,ATL@CHA,CHA,ATL,O,Quadriceps,,,,PG/SG
124539-171761,PF,Peyton,Peyton Watson,Watson,23.44,25,5400,ORL@DEN,DEN,ORL,Q,Side,,,,PF
124539-188433,SG/PG,Brandin,Brandin Podziemski,Podziemski,25.118518970630788,27,5300,GS@PHO,GS,PHO,,,,,,PG/SG
124539-14518,PF/SF,Tobias,Tobias Harris,Harris,25.262500762939453,16,5300,DET@DAL,DET,DAL,,,,,,SF/PF
124539-84708,C,Robert,Robert Williams,Williams,20.225000381469727,16,5300,SAC@POR,POR,SAC,,,,,,C
124539-228126,SG/PG,Dylan,Dylan Harper,Harper,23.65999959309896,15,5300,WAS@SA,SA,WAS,,,,,,PG/SG
124539-58378,C,Jakob,Jakob Poeltl,Poeltl,25.525,20,5200,TOR@MIL,TOR,MIL,P,Rest,,,,C
124539-158855,SF/PF,Justin,Justin Champagnie,Champagnie,14.76818154074929,22,5200,WAS@SA,WAS,SA,,,,,,SF/PF
124539-40201,PG/SG,Dennis,Dennis Schroder,Schroder,26.67894704718339,19,5200,SAC@POR,SAC,POR,Q,Ankle,,,,PG/SG
124539-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,24.23478367017663,23,5200,DET@DAL,DET,DAL,,,,,,PF/C
124539-110316,SF/PF,Cameron,Cameron Johnson,Johnson,20.445833841959637,24,5100,ORL@DEN,DEN,ORL,,,,,,SF/PF
124539-110325,C,Daniel,Daniel Gafford,Gafford,23.381250381469727,16,5100,DET@DAL,DAL,DET,,,,,,C
124539-58253,C,Myles,Myles Turner,Turner,27.46666576244213,27,5100,TOR@MIL,MIL,TOR,,,,,,C
124539-18393,PG,T.J.,T.J. McConnell,McConnell,21.65625,16,5100,NY@IND,IND,NY,,,,,,PG
124539-203808,PG/SG,Ajay,Ajay Mitchell,Mitchell,27.22692401592548,26,5000,LAC@OKC,OKC,LAC,,,,,,PG/SG
124539-163978,PG,Brandon,Brandon Williams,Williams,22.866666158040363,24,5000,DET@DAL,DAL,DET,Q,Achilles,,,,PG
124539-41594,PF,Aaron,Aaron Gordon,Gordon,29.45384568434495,13,5000,ORL@DEN,DEN,ORL,O,Hamstring,,,,PF
124539-228119,SG/SF,Ace,Ace Bailey,Bailey,18.62800048828125,25,5000,LAL@UTA,UTA,LAL,,,,,,SG/SF
124539-18338,SF/PF,Royce,Royce O'Neale,O'Neale,24.176922137920673,26,5000,GS@PHO,PHO,GS,,,,,,SF/PF
124539-145333,SF/PF,Aaron,Aaron Nesmith,Nesmith,25.66363525390625,11,5000,NY@IND,IND,NY,D,Knee,,,,SF/PF
124539-203801,PG,KJ,KJ Simpson,Simpson,14.176923311673677,13,4900,ATL@CHA,CHA,ATL,,,,,,PG
124539-172098,SG/SF,Julian,Julian Champagnie,Champagnie,23.1639990234375,25,4900,WAS@SA,SA,WAS,,,,,,SG/SF
124539-23670,SG/SF,Marcus,Marcus Smart,Smart,21.987499237060547,16,4900,LAL@UTA,LAL,UTA,,,,,,SG/SF
